Date	Time	u_ref	t_ref	d_ref	precip	Qpar	t_canopy	d_canopy	p_atm	CO2_atm	Ts0	Tsurf	Troot	Zw	xylemScalar	NEEobs	Ec	xylenScalar
2019053	13.5	NA	NA	NA	0	NA	NA	NA	72.4	507.6439	NA	NaN	NaN	-10	0	-999	-999	1
2019053	14	NA	NA	NA	0	NA	NA	NA	72.4	508.2708	NA	NaN	NaN	-10	0	-999	-999	1
2019053	14.5	NA	NA	NA	0	NA	NA	NA	72.4	509.328	NA	NaN	NaN	-10	0	-999	-999	1
2019053	15	NA	NA	NA	0	NA	NA	NA	72.4	510.399	NA	NaN	NaN	-10	0	-999	-999	1
2019053	15.5	NA	NA	NA	0	NA	NA	NA	72.4	514.7347	NA	NaN	NaN	-10	0	-999	-999	1
2019053	16	NA	NA	NA	0	NA	NA	NA	72.4	564.9928	NA	NaN	NaN	-10	0	-999	-999	1
2019053	16.5	NA	NA	NA	0	NA	NA	NA	72.4	1134.615	NA	NaN	NaN	-10	0	-999	-999	1
2019053	17	NA	NA	NA	0	NA	NA	NA	72.4	1342.948	NA	NaN	NaN	-10	0	-999	-999	1
2019053	17.5	NA	NA	NA	0	NA	NA	NA	72.4	1391.061	NA	NaN	NaN	-10	0	-999	-999	1
2019053	18	NA	NA	NA	0	NA	NA	NA	72.4	1747.654	NA	NaN	NaN	-10	0	-999	-999	1
2019053	18.5	NA	NA	NA	0	NA	NA	NA	72.4	1525.094	NA	NaN	NaN	-10	0	-999	-999	1
2019053	19	NA	NA	NA	0	NA	NA	NA	72.4	1095.872	NA	NaN	NaN	-10	0	-999	-999	1
2019053	19.5	NA	NA	NA	0	NA	NA	NA	72.4	855.0135	NA	NaN	NaN	-10	0	-999	-999	1
2019053	20	NA	NA	NA	0	NA	NA	NA	72.4	716.2311	NA	NaN	NaN	-10	0	-999	-999	1
2019053	20.5	NA	NA	NA	0	NA	NA	NA	72.4	659.3557	NA	NaN	NaN	-10	0	-999	-999	1
2019053	21	NA	NA	NA	0	NA	NA	NA	72.4	652.6755	NA	NaN	NaN	-10	0	-999	-999	1
2019053	21.5	NA	NA	NA	0	NA	NA	NA	72.4	545.1141	NA	NaN	NaN	-10	0	-999	-999	1
2019053	22	NA	NA	NA	0	NA	NA	NA	72.4	530.512	NA	NaN	NaN	-10	0	-999	-999	1
2019053	22.5	NA	NA	NA	0	NA	NA	NA	72.4	530.0957	NA	NaN	NaN	-10	0	-999	-999	1
2019053	23	NA	NA	NA	0	NA	NA	NA	72.4	529.1531	NA	NaN	NaN	-10	0	-999	-999	1
2019053	23.5	NA	NA	NA	0	NA	NA	NA	72.4	531.7734	NA	NaN	NaN	-10	0	-999	-999	1
2019054	0	NA	NA	NA	0	NA	NA	NA	72.4	531.9727	NA	NaN	NaN	-10	0	-999	-999	1
2019054	0.5	NA	NA	NA	0	NA	NA	NA	72.4	532.4667	NA	NaN	NaN	-10	0	-999	-999	1
2019054	1	NA	NA	NA	0	NA	NA	NA	72.4	531.9828	NA	NaN	NaN	-10	0	-999	-999	1
2019054	1.5	NA	NA	NA	0	NA	NA	NA	72.4	532.3164	NA	NaN	NaN	-10	0	-999	-999	1
2019054	2	NA	NA	NA	0	NA	NA	NA	72.4	533.6143	NA	NaN	NaN	-10	0	-999	-999	1
2019054	2.5	NA	NA	NA	0	NA	NA	NA	72.4	534.5583	NA	NaN	NaN	-10	0	-999	-999	1
2019054	3	NA	NA	NA	0	NA	NA	NA	72.4	534.3323	NA	NaN	NaN	-10	0	-999	-999	1
2019054	3.5	NA	NA	NA	0	NA	NA	NA	72.4	534.1058	NA	NaN	NaN	-10	0	-999	-999	1
2019054	4	NA	NA	NA	0	NA	NA	NA	72.4	534.3878	NA	NaN	NaN	-10	0	-999	-999	1
2019054	4.5	NA	NA	NA	0	NA	NA	NA	72.4	536.9546	NA	NaN	NaN	-10	0	-999	-999	1
2019054	5	NA	NA	NA	0	NA	NA	NA	72.4	537.8682	NA	NaN	NaN	-10	0	-999	-999	1
2019054	5.5	NA	NA	NA	0	NA	NA	NA	72.4	537.9105	NA	NaN	NaN	-10	0	-999	-999	1
2019054	6	NA	NA	NA	0	NA	NA	NA	72.4	538.3066	NA	NaN	NaN	-10	0	-999	-999	1
2019054	6.5	NA	NA	NA	0	NA	NA	NA	72.4	539.14	NA	NaN	NaN	-10	0	-999	-999	1
2019054	7	NA	NA	NA	0	NA	NA	NA	72.4	540.9651	NA	NaN	NaN	-10	0	-999	-999	1
2019054	7.5	NA	NA	NA	0	NA	NA	NA	72.4	542.4379	NA	NaN	NaN	-10	0	-999	-999	1
2019054	8	NA	NA	NA	0	NA	NA	NA	72.4	543.0892	NA	NaN	NaN	-10	0	-999	-999	1
2019054	8.5	NA	NA	NA	0	NA	NA	NA	72.4	541.5377	NA	NaN	NaN	-10	0	-999	-999	1
